TAXONOMIC ORDER;CATEGORY;TAXON CONCEPT ID;COMMON NAME;SCIENTIFIC NAME;SUBSPECIES SCIENTIFIC NAME;SUBSPECIES COMMON NAME
21115;species ;avibase-F2024545;Brown-necked Raven      ;Corvus ruficollis            ;;
7340;species ;avibase-F2858F9F;Little Egret            ;Egretta garzetta             ;;
2869;species ;avibase-F3715F7B;Lichtenstein's Sandgrous;Pterocles lichtensteinii     ;;
5824;issf    ;avibase-F3AB8E78;Kentish Plover          ;Charadrius alexandrinus      ;Charadrius alexandrinus alexandrin;Kentish Plover (Kentish)   
11731;species ;avibase-F3DA111C;Merlin                  ;Falco columbarius            ;;
24559;species ;avibase-F3E9CE95;Cetti's Warbler         ;Cettia cetti                 ;;
9313;issf    ;avibase-F4D0DB8E;Eurasian Hoopoe         ;Upupa epops                  ;Upupa epops [epops Group]         ;Eurasian Hoopoe (Eurasian) 
6420;issf    ;avibase-F4D98B48;Common Gull             ;Larus canus                  ;Larus canus canus                 ;Common Gull (European)     
7872;species ;avibase-F558C7F9;Hen Harrier             ;Circus cyaneus               ;;
444;species ;avibase-F577BA0F;Garganey                ;Spatula querquedula          ;;
23657;species ;avibase-F72A871F;Red-rumped Swallow      ;Cecropis daurica             ;;
6660;species ;avibase-F7504353;Sandwich Tern           ;Thalasseus sandvicensis      ;;
6411;species ;avibase-F7B9355E;Audouin's Gull          ;Ichthyaetus audouinii        ;;
4143;spuh    ;avibase-F7D77F4A;swift sp.               ;Apodidae sp.                 ;;
1934;spuh    ;avibase-F837F893;Columba sp.             ;Columba sp.                  ;;
30983;species ;avibase-F8748F12;Rock Sparrow            ;Petronia petronia            ;;
6392;species ;avibase-F89FD6E3;Little Gull             ;Hydrocoloeus minutus         ;;
31085;spuh    ;avibase-F8FCE84A;wagtail sp.             ;Motacilla sp.                ;;
5931;species ;avibase-F9305BAA;Whimbrel                ;Numenius phaeopus            ;;
23611;issf    ;avibase-F93910B4;Barn Swallow            ;Hirundo rustica              ;Hirundo rustica rustica           ;Barn Swallow (White-bellied
24317;species ;avibase-F9F4B04D;Common Chiffchaff       ;Phylloscopus collybita       ;;
4024;species ;avibase-FA1CAD29;Alpine Swift            ;Apus melba                   ;;
9312;species ;avibase-FA2F9125;Eurasian Hoopoe         ;Upupa epops                  ;;
4099;species ;avibase-FA9F6019;White-rumped Swift      ;Apus caffer                  ;;
6386;species ;avibase-FB02DD96;Black-headed Gull       ;Chroicocephalus ridibundus   ;;
6355;species ;avibase-FB4D08F0;Black-legged Kittiwake  ;Rissa tridactyla             ;;
6460;species ;avibase-FB4FCB27;Iceland Gull            ;Larus glaucoides             ;;
22065;species ;avibase-FC0A1D95;Horned Lark             ;Eremophila alpestris         ;;
8964;species ;avibase-FC4D40D2;Long-eared Owl          ;Asio otus                    ;;
22267;issf    ;avibase-FC79EB47;Crested Lark            ;Galerida cristata            ;Galerida cristata [cristata Group];Crested Lark (Crested)     
24517;species ;avibase-FCF07F05;Scrub Warbler           ;Scotocerca inquieta          ;;
6994;species ;avibase-FD97EC1E;Yelkouan Shearwater     ;Puffinus yelkouan            ;;
11886;species ;avibase-FDAEA60A;Cockatiel               ;Nymphicus hollandicus        ;;
7324;issf    ;avibase-FDCCFEC1;Great Egret             ;Ardea alba                   ;Ardea alba alba                   ;Great Egret (Eurasian)     
27072;species ;avibase-FDECE3B9;White-throated Dipper   ;Cinclus cinclus              ;;
22175;species ;avibase-FE1FE185;Mediterranean Short-toed;Alaudala rufescens           ;;
7566;issf    ;avibase-FE572264;Osprey                  ;Pandion haliaetus            ;Pandion haliaetus haliaetus       ;Osprey (haliaetus)         
6281;slash   ;avibase-FED0179E;Parasitic/Long-tailed Ja;Stercorarius parasiticus/long;;
23137;species ;avibase-FED5AED5;Sedge Warbler           ;Acrocephalus schoenobaenus   ;;
8336;species ;avibase-FEE35F4C;Barn Owl                ;Tyto alba                    ;;
6973;species ;avibase-FF3D837A;Cory's Shearwater       ;Calonectris diomedea         ;;
